iter,best_fitness,mean_fitness,std_fitness,time,XPL,XPT,DIV,GAP,RDP,ENT,Divj_mean,Divj_min,Divj_max
0,2.403000e+04,24961.100000,868.381995,0.001,100.000000,0.000000,0.452000,98.214732,5501.398601,0.584164,0.380700,0.000000,0.500000
1,4.630000e+02,6797.500000,4898.446596,0.043,44.030000,55.970000,0.199000,7.343413,7.925408,0.267073,0.148000,0.000000,0.500000
2,4.560000e+02,460.200000,2.638181,0.060,0.440000,99.560000,0.002000,5.921053,6.293706,0.002355,0.001000,0.000000,0.300000
3,4.480000e+02,454.500000,4.924429,0.047,1.110000,98.890000,0.005000,4.241071,4.428904,0.006417,0.003400,0.000000,0.400000
4,4.450000e+02,456.600000,6.232175,0.054,0.880000,99.120000,0.004000,3.595506,3.729604,0.006257,0.003100,0.000000,0.500000
5,4.430000e+02,457.100000,7.725930,0.057,0.880000,99.120000,0.004000,3.160271,3.263403,0.006378,0.002900,0.000000,0.300000
6,4.400000e+02,455.100000,10.192644,0.060,1.110000,98.890000,0.005000,2.500000,2.564103,0.006957,0.003300,0.000000,0.300000
7,4.370000e+02,456.300000,10.334892,0.059,1.110000,98.890000,0.005000,1.830664,1.864802,0.006833,0.003100,0.000000,0.300000
8,4.360000e+02,457.900000,10.222035,0.061,0.880000,99.120000,0.004000,1.605505,1.631702,0.005875,0.002400,0.000000,0.200000
9,4.360000e+02,458.400000,9.297311,0.061,0.880000,99.120000,0.004000,1.605505,1.631702,0.005579,0.002300,0.000000,0.200000
10,4.360000e+02,458.400000,9.297311,0.062,0.660000,99.340000,0.003000,1.605505,1.631702,0.004372,0.001800,0.000000,0.200000
11,4.360000e+02,459.100000,8.055433,0.061,0.660000,99.340000,0.003000,1.605505,1.631702,0.004668,0.001900,0.000000,0.200000
12,4.360000e+02,461.300000,5.100000,0.062,0.220000,99.780000,0.001000,1.605505,1.631702,0.002367,0.000800,0.000000,0.100000
13,4.360000e+02,461.100000,5.700000,0.061,0.440000,99.560000,0.002000,1.605505,1.631702,0.002663,0.000900,0.000000,0.100000
14,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
15,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
16,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
17,4.360000e+02,463.000000,0.000000,0.063,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
18,4.360000e+02,463.000000,0.000000,0.066,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
19,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
20,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
